SIZEIS: 2048 1
4 -8 226 2
-1.0252e-05 0.999512 224 2
4.5 6.5 218 2
5 10 228 2
-0.5 14.5 225 2
-47.5 25.4844 196 2
12.5 8.5 242 2
-28.5 24.4844 246 2
3.49805 0.499756 197 2
7.99609 1.99902 206 2
7.49609 -0.5 197 2
7.49609 -2.5 210 2
2 2 220 2
3.49805 2.49805 221 2
3.49805 -3.5 220 2
5.5 0.5 226 2
6.99609 1.99902 193 2
6.99609 2.99805 205 2
9.5 -22.5 195 2
10 -17 209 2
1.5 1.5 215 2
7.5 -5.5 226 2
-9.5 -17.5 219 2
5.99609 -19 207 2
9.99219 6.99609 229 2
7.5 16.5 247 2
11.4922 0.499756 241 2
8.49219 -8.5 275 2
9 6 266 2
-3.5 5.49609 281 2
-2.5 -6.5 279 2
6.99609 -1 280 2
5.49609 -9.5 242 2
5.5 -7.5 252 2
18.4844 -3.5 216 2
8.99219 9.99219 243 2
10.5 6.5 260 2
0.999512 4.99609 278 2
8.49219 0.499756 267 2
6.99609 -3 288 2
29.4844 -7.5 100 2
34.5 -3.49805 169 2
3.49805 3.49805 87 2
33.9688 -40 134 2
-6.5 28.5 197 2
16 27 208 2
29.9844 -24 199 2
30.4844 -7.5 245 2
-29 10.9922 121 2
10.9922 1.99902 88 2
-28 53.9688 158 2
-19 44 125 2
22.9844 -47 143 2
35.4688 -39.5 193 2
-6.5 26.5 100 2
30.4844 2.49805 125 2
8.49219 27.4844 220 2
17.9844 10.9922 250 2
11.4922 22.4844 280 2
3.99805 23.9844 296 2
5.49609 32.4688 260 2
1 37 267 2
13.4922 11.4922 313 2
-2.09808e-05 19.9844 333 2
33.9688 -52 273 2
-3 -41 310 2
16.4844 -8.5 184 2
3 -17 231 2
21.9844 -34 309 2
18.9844 -31 351 2
6.99609 -27 237 2
28.4844 -40.5 269 2
-15 29 252 2
-15.5 38.4688 210 2
11.4922 5.49609 293 2
-2.5 26.5 288 2
-17 34 185 2
41.9688 26.9844 162 2
-14 50 260 2
1 42 236 2
4.22266 4.125 290 4
7.49609 -2.5 310 2
3.99805 14.9922 312 2
2.99805 4.99609 315 2
8.99219 0.999512 322 2
-3 8 240 2
-1 26 235 2
5.99609 23.9844 260 2
17.9844 29.9844 275 2
-4 37.9688 240 2
-6.5 23.4844 237 2
-2.5 38.4688 302 2
-14 23.9844 290 2
-7 27.9844 312 2
17.4844 8.49219 320 2
5.99609 -4 343 2
-3.5 1.49902 349 2
5.99609 -6 359 2
-4.5 27.4844 351 2
3.99805 2.99805 351 2
12.9922 -5 368 2
3.59961 2.89844 10 4
0.349854 0.649902 23 4
3.99805 -2 22 2
1 -1 29 2
3.5 -3.5 15 2
2.5 -2.5 21 2
-1 1 26 2
2.49805 3.5 23 2
5.49609 7.5 22 2
1.99902 -3 33 2
5.125 4.875 19 4
16.5 4.5 55 2
-5.72205e-06 22.9844 70 2
19.9844 8.99219 64 2
8.99219 6.99609 97 2
2.99805 0.999512 34 2
9.5 -2.49805 46 2
1 -4 35 2
6.49609 -5.5 38 2
21.4844 -9.5 73 2
-0.5 -10.5 102 2
10.4922 -5.5 57 2
9.49219 -2.5 80 2
6.99609 16 17 2
10.4922 18.5 33 2
8.49219 7.5 43 2
4.49609 3.49805 61 2
-1 13 56 2
-1 23 42 2
0.5 0.5 71 2
4.99609 4.99609 73 2
9 2 57 2
2.5 -3.5 67 2
4 1 60 2
1.5 0.5 66 2
5.5 8.5 70 2
2.99805 2.99805 84 2
4 -7 79 2
0.999512 -6 85 2
-0.5 24.5 38 2
-3.5 14.5 37 2
1 8 76 2
-8 9.99219 77 2
7.49609 -6.5 49 2
-3.5 -18.5 71 2
-10.5 10.4922 52 2
-6 7.99609 48 2
1.39941 -0.399902 85 4
-5 12.9922 81 2
-3.5 22.4844 73 2
-0.5 0.5 94 2
4 2.38419e-07 97 2
6.99609 34 66 2
-1 30 76 2
7.99609 -2 118 2
3 1 127 2
-7 23 70 2
-1 20.9844 58 2
-6.5 13.4922 125 2
-16 17.9844 115 2
6.99609 -10 104 2
5.49609 -2.5 117 2
8.49219 4.49609 96 2
3.99805 -4 116 2
1.99902 -3 127 2
3.99805 6.99609 133 2
5.49609 -1.5 128 2
3.99805 -8 142 2
8.99219 7.99609 64 2
16344 -16336 8249 2
-7.5 19.4844 78 2
1.99902 -2.74181e-06 81 2
18.4844 -16.5 137 2
-5.5 -37.5 152 2
-4.5 -17.5 101 2
10.9922 3.99805 87 2
-5 21.9844 128 2
-18.5 25.4844 103 2
1.49902 -15.5 148 2
0.999512 -1 139 2
7.5 34.5 86 2
11 29 114 2
5 2.98023e-07 145 2
13.9922 2.99805 159 2
18.9844 -22 83 2
11.4922 -5.5 108 2
12.4922 -10.5 53 2
2.99805 -24 84 2
-6 -14 129 2
6.99609 -16 118 2
-1.5 -16.5 80 2
8.99219 -16 74 2
-8.5 20.4844 61 2
0.499756 16.5 51 2
1 1 100 2
3.49805 12.4922 95 2
14.9922 29.9844 60 2
3.49805 37.5 76 2
2.5 1.5 111 2
3.99805 -4 121 2
4.99609 -14 125 2
-16296 16320 8290 2
16336 -16352 8263 2
-0 0 -32767 2
1 32608 151 2
4 2.38419e-07 164 2
-16280 -16312 24618 2
-8 11.9922 177 2
-6.5 20.5 80 2
1 -32688 -32768 2
2.49805 7.49609 120 2
-16 31 114 2
21.9844 -30 120 2
24.4844 -21.5 169 2
-5.5 0.499756 90 2
29 -34 113 2
3.99805 -6 58 2
